c	lm
1	0.000007067
1	0.0000006752
1	0.00000151
1	0.000002947
1	0.00001992
1	0.000007026
1	0.000002931
1	-0.00002574
2	0.000008309
2	0.00001064
2	0.000007804
2	0.000007386
2	0.000005789
2	0.000009514
2	0.000009033
2	0.000002513
3	0.00002332
3	0.0000554
3	0.00007249
3	0.0000719
3	0.0000451
3	0.00002404
3	0.00001711
3	0.00006016
4	0.00007157
4	0.0000889
4	0.00008708
4	0.00009045
4	0.00006932
4	0.00008503
4	0.00006864
4	0.0000772
5	0.0000631
5	0.00006343
5	0.00006268
5	0.00005544
5	0.00006149
5	0.00006379
5	0.00006353
5	0.00006662
6	0.00001695
6	0.00002733
6	0.0000225
6	0.00002475
6	0.00002509
6	0.00001535
6	0.00001339
6	0.00001345
