 MAX1,Velocity
1,-1.000
2,0.091
3,0.258
4,0.329
5,0.144
6,0.323
7,0.323
8,0.258
9,0.465
10,0.258
11,0.266
12,0.323
13,0.323
14,0.387
15,0.329
16,0.452
17,0.000
18,0.266
19,0.323
20,0.452
21,0.258
22,0.258
23,0.129
24,0.266
25,0.258
26,0.258
27,0.258
28,0.258
29,0.194
30,0.323
31,0.387
32,0.516
33,0.516
34,0.516
35,0.129
36,0.129
37,0.129
38,0.194
39,0.194
40,0.323
41,0.258
42,0.065
43,0.258
44,0.387
45,0.266
46,0.129
47,0.387
48,0.258
49,0.258
50,0.065
51,0.065
52,0.000
53,0.323
54,0.194
55,0.581
56,0.456
57,0.065
58,0.194
59,0.000
60,0.129
61,0.129
62,0.065
63,0.258
64,0.194
65,0.000
66,0.323
67,0.258
68,0.065
69,0.387
70,0.065
71,0.204
72,0.258
73,0.129
74,0.129
75,0.129
76,0.194
77,0.323
78,0.323
79,0.516
80,0.323
81,0.000
82,0.129
83,0.194
84,0.000
85,0.258
86,0.194
87,0.000
88,0.129
89,0.129
90,0.065
91,0.258
92,0.194
93,0.065
94,0.065
95,0.194
96,0.258
97,0.323
98,0.065
99,0.000
100,0.194
101,0.323
102,0.065
103,0.129
104,0.347
105,0.288
106,0.258
107,0.129
108,0.000
109,0.258
110,0.194
111,0.129
112,0.194
113,0.194
114,0.000
115,0.785
116,0.323
117,0.194
118,0.323
119,0.194
120,0.065
121,0.258
122,0.194
123,0.182
124,0.194
125,1.296
126,0.258
127,0.194
128,0.065
129,0.000
130,0.258
131,0.194
132,0.000
133,0.194
134,0.065
135,0.194
136,0.065
137,0.182
138,0.000
139,0.323
140,0.194
141,0.129
142,0.000
143,0.182
144,0.065
145,0.194
146,0.129
147,0.129
148,0.129
149,0.194
150,0.065
151,0.000
152,0.516
153,0.194
154,0.194
155,0.129
156,0.000
157,0.000
158,0.129
159,0.129
160,0.129
