 NOIR,Velocity
1,-1.000
2,0.129
3,0.194
4,0.129
5,0.258
6,0.000
7,0.000
8,0.000
9,0.258
10,0.065
11,0.000
12,0.258
13,0.182
14,0.065
15,0.000
16,0.000
17,0.000
18,0.144
19,0.144
20,0.000
21,0.065
22,0.000
23,0.065
24,0.000
25,0.000
26,0.000
27,0.129
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.144
34,0.274
35,0.000
36,0.129
37,0.065
38,0.000
39,0.000
40,0.144
41,0.000
42,0.194
43,0.233
44,0.000
45,0.194
46,0.266
47,0.000
48,0.000
49,0.065
50,0.129
51,0.065
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.258
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.129
72,0.000
73,0.065
74,0.000
75,0.000
76,0.000
77,0.065
78,0.065
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.065
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.000
108,0.000
109,0.000
110,0.000
111,0.065
112,0.065
113,0.000
114,0.000
115,0.000
116,0.000
117,0.000
118,0.000
119,0.000
120,0.000
121,0.000
122,0.000
123,0.000
124,0.000
125,0.000
126,0.000
127,0.000
128,0.000
129,0.000
130,0.000
131,0.000
132,0.000
133,0.000
134,0.000
135,0.000
136,0.000
137,0.000
138,0.000
139,0.000
140,0.000
141,0.000
142,0.000
143,0.000
144,0.000
145,0.000
146,0.000
147,0.000
148,0.000
149,0.000
150,0.000
151,0.000
152,0.000
153,0.000
154,0.000
155,0.000
156,0.000
157,0.000
158,0.000
159,0.000
160,0.000
161,0.000
